file	scores	gaps
skills/abstain-or-escalate/SKILL.md	2,2,2,2,2,1,2,1,2,2	boundaries thin (S6); examples are phrasing templates, not a filled case (S8)
skills/analysis-of-competing-hypotheses/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/analyze-patent-claims/SKILL.md	2,2,2,2,2,1,2,2,0,2	no skip-for sibling routing (S6); no verification hook (S9)
skills/analyze-release-notes/SKILL.md	2,2,2,2,2,1,2,2,0,2	no skip-for sibling routing (S6); no verification hook (S9)
skills/apply-hype-cycle/SKILL.md	2,2,2,2,2,1,2,2,2,2	skip-for thin, no sibling routing (S6)
skills/assess-research-momentum/SKILL.md	2,2,2,2,2,2,2,1,1,2	worked example fragmentary (S8); verification hook loose (S9)
skills/assess-study-bias/SKILL.md	2,2,2,2,2,1,2,2,2,2	skip-for thin (S6)
skills/backcasting/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/bayesian-update/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/benchmark-model-claims/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/brier-score-calibration/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/causal-layered-analysis/SKILL.md	2,2,2,2,2,2,2,2,1,2	verification hook loose (S9)
skills/cheapest-experiment/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/chemistry-claim-check/SKILL.md	2,2,2,2,2,2,2,2,2,0	DBE/MW arithmetic has no runnable companion tool (S10) — verification hook is recompute-by-hand
skills/cite-ieee/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/claim-provenance/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/critique-report/SKILL.md	2,1,2,2,2,2,2,2,2,2	bespoke checklist — no canonical published method to cite (S2)
skills/cross-impact-analysis/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/cynefin-classification/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/decompose-research-question/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/delphi-method/SKILL.md	2,2,2,2,2,2,2,1,1,2	worked example fragmentary (S8); verification hook loose (S9)
skills/detect-funding-round/SKILL.md	2,1,2,2,2,2,2,2,2,2	bespoke extraction pattern — no canonical published method (S2)
skills/detect-ma-event/SKILL.md	2,1,2,2,2,2,2,2,2,2	bespoke extraction pattern — no canonical published method (S2)
skills/estimate-market-size/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/evidence-appraisal/SKILL.md	2,2,2,2,2,2,2,2,1,2	verification hook loose (S9)
skills/evolution-stage/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/experimental-design/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/five-forces-analysis/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/foresight/SKILL.md	2,1,2,2,2,2,2,2,1,2	bespoke composite — honestly framed, anchored to Ansoff/Hiltunen but not a single published method (S2); verification hook loose (S9)
skills/futures-wheel/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/grounded-answer/SKILL.md	2,2,2,2,2,2,2,1,2,2	worked example partial (S8)
skills/grounded-fact-check/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/horizon-scanning/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/jtbd-framing/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/key-assumptions-check/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/meta-analysis/SKILL.md	2,2,2,1,2,2,2,2,2,2	emit spec is a prose list, no fenced fill-in template (S4)
skills/oss-project-health/SKILL.md	2,2,2,2,2,2,2,2,1,2	verification hook loose (S9)
skills/position-competitor/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/premortem-analysis/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/pyramid-principle/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/quantitative-sanity-check/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/rate-source-admiralty/SKILL.md	2,2,2,2,2,2,2,2,1,2	verification hook loose (S9)
skills/read-patent-landscape/SKILL.md	2,1,2,2,2,2,2,2,1,2	no canonical method citation — patent landscaping has no single published source (S2); verification hook loose (S9)
skills/red-team-claim/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/scenario-planning/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/score-technology-readiness/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/sift-source-check/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/smiles-sanity-check/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/steelman-argument/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/steep-pestle-analysis/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/systematic-review/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/test-significance/SKILL.md	2,2,2,2,2,1,2,2,2,2	skip-for thin (S6)
skills/three-horizons/SKILL.md	2,2,2,2,2,2,2,1,2,2	worked example partial (S8)
skills/trend-analysis/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
skills/triangulate-sources/SKILL.md	2,2,2,2,2,2,2,2,1,2	verification hook loose (S9)
skills/verify-citations/SKILL.md	2,2,2,2,2,2,2,2,2,0	format validation rules exist in prose but no runnable validator script (S10)
skills/wardley-map-drafting/SKILL.md	2,2,2,2,2,2,2,2,1,2	verification hook loose (S9)
skills/write-imrad-report/SKILL.md	2,2,2,2,2,2,2,1,1,2	worked example partial (S8); verification hook loose (S9)
skills/write-srl-brief/SKILL.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/foresight/backcasting.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/foresight/causal-layered-analysis.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/foresight/cross-impact-analysis.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/foresight/delphi-method.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/foresight/futures-triangle.md	2,2,2,2,2,2,1,2,2,2	worked cases documented pedagogically rather than at decision level (M7)
methodologies/foresight/futures-wheel.md	2,2,2,2,2,2,1,2,2,2	worked cases documented pedagogically rather than at decision level (M7)
methodologies/foresight/horizon-scanning.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/foresight/scenario-planning.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/foresight/steep-pestle-analysis.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/foresight/technology-roadmapping.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/foresight/three-horizons.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/foresight/trend-analysis.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/research-methods/action-research.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/research-methods/case-study-research.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/research-methods/design-science-research.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/research-methods/ethnography.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/research-methods/experimental-design.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/research-methods/grounded-theory.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/research-methods/meta-analysis.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/research-methods/mixed-methods.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/research-methods/survey-research.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/research-methods/systematic-literature-review.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/scientific-methods/bayesian-evidence-updating.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/scientific-methods/evidence-appraisal.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/scientific-methods/hypothetico-deductive-method.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/scientific-methods/induction-abduction-analogy.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/scientific-methods/reproducibility-open-science.md	2,2,2,2,2,2,2,2,2,2	—
methodologies/scientific-methods/scientific-method-cycle.md	2,2,2,2,2,2,2,2,2,2	—
