file	scores	gaps
skills/abstain-or-escalate/SKILL.md	2,1,2,2,2,1,1,1,0,2	no output-verification hook; vague "I-CALM 2025" citation (no author/venue/title)
skills/analysis-of-competing-hypotheses/SKILL.md	2,2,2,1,2,2,1,2,2,0	no runnable matrix-scoring companion tool; no fill-in output template (emit spec is prose only)
skills/analyze-patent-claims/SKILL.md	2,2,2,2,2,1,1,1,0,0	no runnable patent-parsing companion tool; no end-to-end worked example
skills/analyze-release-notes/SKILL.md	2,2,2,2,2,1,1,1,0,0	no runnable release-notes parser tool; no end-to-end worked example
skills/apply-hype-cycle/SKILL.md	2,2,2,2,2,1,1,1,2,2	no fully worked placement example; no methodology cross-links
skills/assess-research-momentum/SKILL.md	2,1,2,2,2,2,1,1,1,0	no canonical bibliometrics citations; no companion tool for citation-velocity math
skills/assess-study-bias/SKILL.md	2,2,2,2,2,1,1,0,2,2	no worked bias-assessment example; no methodology cross-links
skills/bayesian-update/SKILL.md	2,2,2,2,2,2,1,1,2,0	no link to methodologies bayesian-evidence-updating; no full worked example
skills/benchmark-model-claims/SKILL.md	2,1,2,2,2,2,1,1,2,0	RoB-2 lineage named but canonical citation missing; no worked audit example
skills/brier-score-calibration/SKILL.md	2,2,2,2,2,2,1,1,2,0	no runnable tool for Brier/decomposition math; no fully worked scoring example or methodologies link
skills/cheapest-experiment/SKILL.md	2,1,2,2,2,1,1,2,2,2	no canonical citation for Ries innovation accounting; skip-for lacks named sibling routing
skills/chemistry-claim-check/SKILL.md	2,2,2,2,2,2,1,2,2,0	no runnable tool for DBE/MW arithmetic; no methodologies cross-link
skills/cite-ieee/SKILL.md	2,2,2,2,2,1,1,1,2,2	no end-to-end worked example; skip boundary lacks sibling routing
skills/claim-provenance/SKILL.md	2,1,2,2,2,1,1,2,2,2	no canonical citation for McGrath Discovery-Driven Planning; skip-for lacks named sibling routing
skills/critique-report/SKILL.md	2,1,2,2,2,2,2,1,2,2	no canonical method citation (bespoke checklist); no fully worked critique example; leftover origin codebase paths
skills/cynefin-classification/SKILL.md	2,1,2,2,2,2,2,2,2,2	no canonical citation (Snowden & Boone 2007); worked illustration generic
skills/decompose-research-question/SKILL.md	2,2,2,2,2,2,2,2,2,2	5W+H pattern uncited (only Self-Ask sourced); worked example covers one question shape; dangling ref `five-forces`
skills/delphi-method/SKILL.md	2,2,2,2,2,2,1,1,1,0	no link to methodologies/foresight/delphi-method.md; no runnable median/IQR aggregation tool
skills/detect-funding-round/SKILL.md	2,1,2,2,2,1,1,2,2,0	no runnable parsing/amount-normalization tool; thin skip-for with no sibling routing
skills/detect-ma-event/SKILL.md	2,1,2,2,2,2,1,2,2,0	no runnable parsing/premium-computation tool; no dedicated Pair-with section
skills/estimate-market-size/SKILL.md	2,1,2,2,2,2,1,2,2,0	no runnable triangulation/Fermi tool; loose/unverifiable citations
